Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2020-03-27;9.793,5;9.886,18;9.541,83;9.632,52;5.226.296.517
2020-03-26;9.621,24;10.000,96;9.526,17;10.000,96;5.648.346.543
2020-03-25;9.987,37;10.137,62;9.460,91;9.874,26;7.176.498.007
2020-03-24;9.242,06;9.700,57;9.102,17;9.700,57;7.269.588.243
2020-03-23;8.536,33;9.071,14;8.480,28;8.741,15;6.203.080.966
2020-03-20;9.080,49;9.201,07;8.838,3;8.928,95;9.556.092.760
2020-03-19;8.495,94;8.668,48;8.257,53;8.610,43;6.429.020.859
2020-03-18;8.613,35;8.670,41;8.400,18;8.441,71;6.574.843.218
2020-03-17;9.141,17;9.145,93;8.423,56;8.939,1;7.084.550.881
2020-03-16;8.728,48;8.967,11;8.255,65;8.742,25;9.917.906.848
2020-03-13;9.480,78;9.985,74;9.064,68;9.232,08;10.943.120.885
2020-03-12;9.863,99;9.932,56;9.139,12;9.161,13;12.864.295.088
2020-03-11;10.601,85;10.761,43;10.390,51;10.438,68;7.878.265.616
2020-03-10;10.724,98;11.032,29;10.423,9;10.475,49;9.917.035.269
2020-03-09;10.690,08;10.995,22;10.556,64;10.625,02;11.491.226.395
2020-03-06;11.694,56;11.769,85;11.447,2;11.541,87;7.320.722.810
2020-03-05;12.191,41;12.207,77;11.844,88;11.944,72;5.837.393.232
2020-03-04;11.992,59;12.199,82;11.929,24;12.127,69;5.986.297.361
2020-03-03;12.013,06;12.272,99;11.906,82;11.985,39;8.055.979.442
2020-03-02;12.030,27;12.121,6;11.624,63;11.857,87;8.167.249.575
2020-02-28;11.891,87;12.008,59;11.724,12;11.890,35;11.786.903.849
2020-02-27;12.526,6;12.593,62;12.211,63;12.367,46;7.903.699.494
2020-02-26;12.682,16;12.849,17;12.368,05;12.774,88;7.643.868.696
2020-02-25;13.132,04;13.132,04;12.778,66;12.790,49;5.752.237.579
2020-02-24;13.231,38;13.236,58;12.982,14;13.035,24;7.141.029.483
2020-02-21;13.609,94;13.689,23;13.500,5;13.579,33;5.008.439.296
2020-02-20;13.774,44;13.788,41;13.664;13.664;3.804.663.552
2020-02-19;13.751,05;13.789;13.710,78;13.789;3.569.547.008
2020-02-18;13.668,94;13.731,39;13.660,45;13.681,19;3.395.386.624
2020-02-17;13.770,67;13.795,24;13.754,04;13.783,89;2.612.837.120
2020-02-14;13.756,47;13.788,51;13.728,12;13.744,21;3.035.655.680
2020-02-13;13.695,93;13.745,43;13.576,96;13.745,43;4.044.694.784
2020-02-12;13.671,15;13.758,7;13.658,15;13.749,78;3.557.517.312
2020-02-11;13.604,74;13.668,43;13.557,96;13.627,84;4.207.244.032
2020-02-10;13.476;13.501,74;13.445,41;13.494,03;2.608.739.072
2020-02-07;13.530,77;13.551,03;13.463,98;13.513,81;3.528.092.672
2020-02-06;13.570,33;13.606,97;13.533,66;13.574,82;3.962.973.696
2020-02-05;13.224,27;13.488,58;13.223,14;13.478,33;4.878.091.776
2020-02-04;13.135,61;13.282,63;13.131,07;13.281,74;3.757.522.176
2020-02-03;13.033,17;13.077,57;12.987,53;13.045,19;3.635.225.600
2020-01-31;13.196,8;13.208,47;12.973,7;12.981,97;4.596.007.424
2020-01-30;13.186,49;13.262,18;13.118,97;13.157,12;3.915.857.920
2020-01-29;13.316,42;13.371,3;13.296,03;13.345;2.900.783.360
2020-01-28;13.274,01;13.327,12;13.163,36;13.323,69;4.157.311.488
2020-01-27;13.374,99;13.399,42;13.195,28;13.204,77;4.774.482.944
2020-01-24;13.512,84;13.604,85;13.510,79;13.576,68;4.093.668.864
2020-01-23;13.455,9;13.486,14;13.382,23;13.388,42;3.755.383.808
2020-01-22;13.601,65;13.640,06;13.498,03;13.515,75;3.518.689.280
2020-01-21;13.456,9;13.560,68;13.443,25;13.555,87;2.828.705.024
2020-01-20;13.503,83;13.550,83;13.487,21;13.548,94;2.213.997.056
2020-01-17;13.513,48;13.557,78;13.497,3;13.526,13;4.263.625.728
2020-01-16;13.463,46;13.492,74;13.382,98;13.429,43;3.263.788.544
2020-01-15;13.444,95;13.458,91;13.388,48;13.432,3;3.387.621.376
2020-01-14;13.439,2;13.487,9;13.362,2;13.456,49;3.375.945.216
2020-01-13;13.521,86;13.529,21;13.404,72;13.451,52;2.916.933.632
2020-01-10;13.533,46;13.548,2;13.483,31;13.483,31;3.310.929.920
2020-01-09;13.474,76;13.523,34;13.456,78;13.495,06;3.865.976.576
2020-01-08;13.140,49;13.334,04;13.106,27;13.320,18;3.500.844.800
2020-01-07;13.199,59;13.283,88;13.166,4;13.226,83;3.229.665.792
2020-01-06;13.085,49;13.143,11;12.948,17;13.126,99;3.090.320.384
2020-01-03;13.266,39;13.282,74;13.120,72;13.219,14;3.348.948.736
2020-01-02;13.233,71;13.425,03;13.225,16;13.385,93;3.041.948.416
2019-12-30;13.301,43;13.316,62;13.244,17;13.249,01;1.363.888.256
2019-12-27;13.338,32;13.381,44;13.311,52;13.337,11;2.011.863.040
2019-12-23;13.304,77;13.331,86;13.285,55;13.300,98;2.483.130.112
2019-12-20;13.210,26;13.324,11;13.201,8;13.318,9;8.315.065.856
2019-12-19;13.226,7;13.248,98;13.140,22;13.211,96;4.003.737.856
2019-12-18;13.266,35;13.286;13.215,88;13.222,16;3.371.483.648
2019-12-17;13.391,27;13.394,47;13.269,43;13.287,83;3.975.771.136
2019-12-16;13.349,86;13.425,85;13.338,38;13.407,66;3.022.608.896
2019-12-13;13.383,26;13.423,41;13.255,55;13.282,72;5.029.902.336
2019-12-12;13.167,56;13.287,81;13.105,07;13.221,64;3.573.495.040
2019-12-11;13.075,43;13.169,77;13.042,7;13.146,74;3.301.320.192
2019-12-10;13.065,83;13.091,71;12.886,55;13.070,72;3.746.461.952
2019-12-09;13.147,57;13.170,77;13.100,24;13.105,61;2.274.370.816
2019-12-06;13.087,51;13.171,21;13.055,98;13.166,58;2.916.811.264
2019-12-05;13.144,38;13.188,64;13.054,8;13.054,8;2.620.789.248
2019-12-04;12.998,66;13.157,36;12.995,32;13.140,57;3.020.354.048
2019-12-03;13.039,61;13.086,03;12.927,07;12.989,29;3.662.386.432
2019-12-02;13.264,93;13.338,25;12.954,5;12.964,68;4.646.583.808
2019-11-29;13.179,25;13.290,33;13.165,07;13.236,38;2.981.747.968
2019-11-28;13.247,61;13.259,29;13.215,71;13.245,58;1.704.999.296
2019-11-27;13.291,09;13.314,92;13.219,43;13.287,07;2.765.258.752
2019-11-26;13.256,4;13.261,98;13.193,75;13.236,42;4.037.251.840
2019-11-25;13.247,51;13.268,97;13.210,25;13.246,45;2.587.077.888
2019-11-22;13.145,77;13.244,57;13.120,63;13.163,88;3.430.652.160
2019-11-21;13.083;13.171,85;13.043,9;13.137,7;3.607.742.464
2019-11-20;13.127,45;13.182,22;13.071,33;13.158,14;3.238.085.888
2019-11-19;13.235,28;13.374,27;13.187,91;13.221,12;3.264.300.288
2019-11-18;13.255,78;13.282,41;13.137,88;13.207,01;3.202.738.688
2019-11-15;13.261,72;13.261,72;13.172,89;13.241,75;3.852.822.528
2019-11-14;13.198,33;13.219,3;13.159,69;13.180,23;3.623.782.912
2019-11-13;13.244,05;13.273,82;13.139,25;13.230,07;3.228.517.888
2019-11-12;13.243,53;13.308,26;13.214,66;13.283,51;3.413.908.480
2019-11-11;13.170,18;13.225,62;13.144,09;13.198,37;3.153.869.312
2019-11-08;13.248,62;13.278,18;13.195,83;13.228,56;4.286.930.176
2019-11-07;13.258,26;13.300,76;13.227,37;13.289,46;4.770.040.320
2019-11-06;13.150,94;13.187,66;13.110,91;13.179,89;3.781.267.200
2019-11-05;13.134,33;13.166,08;13.112,65;13.148,5;4.066.735.104
2019-11-04;13.022,95;13.171,17;13.019,18;13.136,28;4.159.345.664
2019-11-01;12.912,09;12.992,07;12.896,72;12.961,05;2.790.381.312
2019-10-31;12.937,59;12.953,34;12.795,09;12.866,79;4.225.495.808
2019-10-30;12.929,42;12.944,26;12.830,33;12.910,23;3.747.481.600
2019-10-29;12.946,34;12.951,88;12.897,34;12.939,62;3.305.081.600
2019-10-28;12.897,4;12.986,49;12.892,84;12.941,71;3.130.192.384
2019-10-25;12.886,42;12.895,85;12.834;12.894,51;2.884.845.056
2019-10-24;12.860,63;12.914,24;12.820,67;12.872,1;3.770.670.336
2019-10-23;12.702,92;12.819,22;12.699,85;12.798,19;3.385.803.008
2019-10-22;12.757,73;12.791,31;12.730,7;12.754,69;3.589.983.488
2019-10-21;12.661,93;12.787,35;12.646,28;12.747,96;3.523.020.544
2019-10-18;12.637,01;12.700,38;12.603,17;12.633,6;4.486.810.112
2019-10-17;12.655,32;12.814,49;12.647,86;12.654,95;4.439.079.424
2019-10-16;12.644,18;12.698,37;12.603,83;12.670,11;4.391.909.376
2019-10-15;12.565,68;12.682,4;12.511,9;12.629,79;4.959.471.616
2019-10-14;12.468,78;12.495,24;12.387,95;12.486,56;2.502.158.848
2019-10-11;12.248,88;12.511,65;12.240,94;12.511,65;4.641.510.400
2019-10-10;12.082,89;12.202,71;12.029,46;12.164,2;3.665.628.928
2019-10-09;11.973,82;12.165,53;11.953,12;12.094,26;2.876.705.792
2019-10-08;12.097,89;12.097,94;11.933,02;11.970,2;3.254.806.528
2019-10-07;12.008,77;12.105,09;11.969,32;12.097,43;2.735.589.888
2019-10-04;11.958,31;12.012,91;11.878,98;12.012,81;3.776.119.296
2019-10-02;12.221,74;12.226,86;11.925,25;11.925,25;4.228.949.760
2019-10-01;12.469,67;12.497,28;12.263,83;12.263,83;3.372.863.488
2019-09-30;12.367,81;12.441,03;12.346,94;12.428,08;2.914.095.360
2019-09-27;12.327,79;12.404,47;12.324,71;12.380,94;2.691.832.576





