Date;Close
2019-09-27;1301
2019-09-30;1309
2019-10-01;1301
2019-10-02;1277
2019-10-03;1261
2019-10-04;1279
2019-10-07;1302
2019-10-08;1299
2019-10-09;1307
2019-10-10;1310
2019-10-11;1330
2019-10-14;1319
2019-10-15;1326
2019-10-16;1333
2019-10-17;1335
2019-10-18;1330
2019-10-21;1339
2019-10-22;1329
2019-10-23;1332
2019-10-24;1334
2019-10-25;1336
2019-10-28;1338
2019-10-29;1336
2019-10-30;1332
2019-10-31;1325
2019-11-01;1332
2019-11-04;1354
2019-11-05;1354
2019-11-06;1349
2019-11-07;1360
2019-11-08;1365
2019-11-11;1369
2019-11-12;1366
2019-11-13;1359
2019-11-14;1350
2019-11-15;1358
2019-11-18;1347
2019-11-19;1347
2019-11-20;1342
2019-11-21;1337
2019-11-22;1344
2019-11-25;1352
2019-11-26;1350
2019-11-27;1349
2019-11-28;1347
2019-11-29;1340
2019-12-02;1341
2019-12-03;1328
2019-12-04;1348
2019-12-05;1348
2019-12-06;1363
2019-12-09;1369
2019-12-10;1368
2019-12-11;1362
2019-12-12;1374
2019-12-13;1386
2019-12-16;1402
2019-12-17;1401
2019-12-18;1398
2019-12-19;1402
2019-12-20;1407
2019-12-23;1418
2019-12-24;1417
2019-12-26;1419
2019-12-27;1422
2019-12-30;1418
2019-12-31;1420
2020-01-02;1442
2020-01-03;1429
2020-01-06;1422
2020-01-07;1431
2020-01-08;1429
2020-01-09;1428
2020-01-10;1429
2020-01-13;1427
2020-01-14;1425
2020-01-15;1420
2020-01-16;1435
2020-01-17;1438
2020-01-20;1438
2020-01-21;1427
2020-01-22;1419
2020-01-23;1395
2020-01-24;1397
2020-01-27;1360
2020-01-28;1373
2020-01-29;1377
2020-01-30;1353
2020-01-31;1354
2020-02-03;1343
2020-02-04;1363
2020-02-05;1387
2020-02-06;1398
2020-02-07;1376
2020-02-10;1377
2020-02-11;1410
2020-02-12;1420
2020-02-13;1423
2020-02-14;1420
2020-02-17;1412
2020-02-18;1401
2020-02-19;1417
2020-02-20;1414
2020-02-21;1400
2020-02-24;1322
2020-02-25;1301
2020-02-26;1307
2020-02-27;1251
2020-02-28;1238
2020-03-02;1231
2020-03-03;1255
2020-03-04;1246
2020-03-05;1215
2020-03-06;1172
2020-03-09;1081
2020-03-10;1074
2020-03-11;1055
2020-03-12;952.40
2020-03-13;970.80
2020-03-16;914.20
2020-03-17;928.40
2020-03-18;890.40
2020-03-19;892.40
2020-03-20;888.80
2020-03-23;851.40
2020-03-24;901.20
2020-03-25;928.20
2020-03-26;945.60
2020-03-27;922.20
