Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;28,51;28,51;28,51;28,51;;
2020-03-26;29,73;29,73;29,73;29,73;;
2020-03-25;29,41;29,41;29,41;29,41;;
2020-03-24;28,79;28,79;28,79;28,79;;
2020-03-23;26,02;26,02;26,02;26,02;;
2020-03-20;26,72;26,72;26,72;26,72;;
2020-03-19;25,69;25,69;25,69;25,69;;
2020-03-18;24,93;24,93;24,93;24,93;;
2020-03-17;26,13;26,13;26,13;26,13;;
2020-03-16;25,40;25,40;25,40;25,40;;
2020-03-13;27,4713;27,4713;27,4713;27,4713;;
2020-03-12;27,0227;27,0227;27,0227;27,0227;;
2020-03-11;31,9481;31,9481;31,9481;31,9481;;
2020-03-10;32,1867;32,1867;32,1867;32,1867;;
2020-03-09;32,6353;32,6353;32,6353;32,6353;;
2020-03-06;36,1862;36,1862;36,1862;36,1862;;
2020-03-05;37,6084;37,6084;37,6084;37,6084;;
2020-03-04;38,5534;38,5534;38,5534;38,5534;;
2020-03-03;38,1143;38,1143;38,1143;38,1143;;
2020-03-02;37,9425;37,9425;37,9425;37,9425;;
2020-02-28;38,2289;38,2289;38,2289;38,2289;;
2020-02-27;39,6129;39,6129;39,6129;39,6129;;
2020-02-26;41,1974;41,1974;41,1974;41,1974;;
2020-02-25;41,1497;41,1497;41,1497;41,1497;;
2020-02-24;42,1138;42,1138;42,1138;42,1138;;
2020-02-21;43,9751;43,9751;43,9751;43,9751;;
2020-02-20;44,3569;44,3569;44,3569;44,3569;;
2020-02-19;44,6242;44,6242;44,6242;44,6242;;
2020-02-18;44,4619;44,4619;44,4619;44,4619;;
2020-02-17;44,7578;44,7578;44,7578;44,7578;;
2020-02-14;44,6242;44,6242;44,6242;44,6242;;
2020-02-13;44,5478;44,5478;44,5478;44,5478;;
2020-02-12;44,691;44,691;44,691;44,691;;
2020-02-11;44,3378;44,3378;44,3378;44,3378;;
2020-02-10;44,0324;44,0324;44,0324;44,0324;;
2020-02-07;44,0992;44,0992;44,0992;44,0992;;
2020-02-06;44,3665;44,3665;44,3665;44,3665;;
2020-02-05;44,0992;44,0992;44,0992;44,0992;;
2020-02-04;43,4788;43,4788;43,4788;43,4788;;
2020-02-03;42,7056;42,7056;42,7056;42,7056;;
2020-01-31;42,6101;42,6101;42,6101;42,6101;;
2020-01-30;43,1447;43,1447;43,1447;43,1447;;
2020-01-29;43,6888;43,6888;43,6888;43,6888;;
2020-01-28;43,6124;43,6124;43,6124;43,6124;;
2020-01-27;43,1351;43,1351;43,1351;43,1351;;
2020-01-24;44,1088;44,1088;44,1088;44,1088;;
2020-01-23;43,851;43,851;43,851;43,851;;
2020-01-22;44,1947;44,1947;44,1947;44,1947;;
2020-01-21;44,3856;44,3856;44,3856;44,3856;;
2020-01-20;44,5287;44,5287;44,5287;44,5287;;
2020-01-17;44,5001;44,5001;44,5001;44,5001;;
2020-01-16;44,3188;44,3188;44,3188;44,3188;;
2020-01-15;44,2328;44,2328;44,2328;44,2328;;
2020-01-14;44,4333;44,4333;44,4333;44,4333;;
2020-01-13;44,5097;44,5097;44,5097;44,5097;;
2020-01-10;44,6147;44,6147;44,6147;44,6147;;
2020-01-09;44,7483;44,7483;44,7483;44,7483;;
2020-01-08;44,7292;44,7292;44,7292;44,7292;;
2020-01-07;44,6815;44,6815;44,6815;44,6815;;
2020-01-03;44,7578;44,7578;44,7578;44,7578;;
2020-01-02;45,0156;45,0156;45,0156;45,0156;;
2019-12-30;44,6433;44,6433;44,6433;44,6433;;
2019-12-27;44,9297;44,9297;44,9297;44,9297;;
2019-12-23;44,9106;44,9106;44,9106;44,9106;;
2019-12-20;44,9965;44,9965;44,9965;44,9965;;
2019-12-19;44,7292;44,7292;44,7292;44,7292;;
2019-12-18;44,7006;44,7006;44,7006;44,7006;;
2019-12-17;44,7769;44,7769;44,7769;44,7769;;
2019-12-16;44,8915;44,8915;44,8915;44,8915;;
2019-12-13;44,5001;44,5001;44,5001;44,5001;;
2019-12-12;44,3092;44,3092;44,3092;44,3092;;
2019-12-11;44,0897;44,0897;44,0897;44,0897;;
2019-12-10;43,9656;43,9656;43,9656;43,9656;;
2019-12-09;44,061;44,061;44,061;44,061;;
2019-12-06;44,0801;44,0801;44,0801;44,0801;;
2019-12-05;43,7747;43,7747;43,7747;43,7747;;
2019-12-04;43,851;43,851;43,851;43,851;;
2019-12-03;43,4788;43,4788;43,4788;43,4788;;
2019-12-02;43,6315;43,6315;43,6315;43,6315;;
2019-11-29;43,9656;43,9656;43,9656;43,9656;;
2019-11-28;44,1088;44,1088;44,1088;44,1088;;
2019-11-27;44,2138;44,2138;44,2138;44,2138;;
2019-11-26;44,1756;44,1756;44,1756;44,1756;;
2019-11-25;44,1947;44,1947;44,1947;44,1947;;
2019-11-22;44,1374;44,1374;44,1374;44,1374;;
2019-11-21;44,0133;44,0133;44,0133;44,0133;;
2019-11-20;44,061;44,061;44,061;44,061;;
2019-11-19;44,1183;44,1183;44,1183;44,1183;;
2019-11-18;44,2806;44,2806;44,2806;44,2806;;
2019-11-15;44,3188;44,3188;44,3188;44,3188;;
2019-11-14;44,1374;44,1374;44,1374;44,1374;;
2019-11-13;44,2901;44,2901;44,2901;44,2901;;
2019-11-12;44,5287;44,5287;44,5287;44,5287;;
2019-11-11;44,4047;44,4047;44,4047;44,4047;;
2019-11-08;44,4428;44,4428;44,4428;44,4428;;
2019-11-07;44,3665;44,3665;44,3665;44,3665;;
2019-11-06;44,061;44,061;44,061;44,061;;
2019-11-05;43,9751;43,9751;43,9751;43,9751;;
2019-11-04;43,8224;43,8224;43,8224;43,8224;;
2019-10-31;43,0683;43,0683;43,0683;43,0683;;
2019-10-30;43,2879;43,2879;43,2879;43,2879;;
2019-10-29;43,4883;43,4883;43,4883;43,4883;;
2019-10-28;43,5456;43,5456;43,5456;43,5456;;
2019-10-25;43,4406;43,4406;43,4406;43,4406;;
2019-10-24;43,5742;43,5742;43,5742;43,5742;;
2019-10-23;43,3929;43,3929;43,3929;43,3929;;
2019-10-22;43,2783;43,2783;43,2783;43,2783;;
2019-10-21;43,221;43,221;43,221;43,221;;
2019-10-18;42,9251;42,9251;42,9251;42,9251;;
2019-10-17;43,0683;43,0683;43,0683;43,0683;;
2019-10-16;43,1256;43,1256;43,1256;43,1256;;
2019-10-15;43,0397;43,0397;43,0397;43,0397;;
2019-10-14;42,5242;42,5242;42,5242;42,5242;;
2019-10-11;42,7342;42,7342;42,7342;42,7342;;
2019-10-10;41,9133;41,9133;41,9133;41,9133;;
2019-10-09;41,4743;41,4743;41,4743;41,4743;;
2019-10-08;41,2547;41,2547;41,2547;41,2547;;
2019-10-07;41,7415;41,7415;41,7415;41,7415;;
2019-10-04;41,4647;41,4647;41,4647;41,4647;;
2019-10-02;41,207;41,207;41,207;41,207;;
2019-10-01;42,1806;42,1806;42,1806;42,1806;;
2019-09-30;42,5051;42,5051;42,5051;42,5051;;
2019-09-27;42,4002;42,4002;42,4002;42,4002;;





