Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;12,761;12,791;12,07;12,216;245.904;3.057.213
2020-03-26;13,13;13,431;12,944;13,029;95.404;1.253.955
2020-03-25;13,696;13,833;12,90;13,358;144.473;1.923.878
2020-03-24;13,733;14,05;13,50;13,543;153.446;2.116.303
2020-03-23;12,926;13,237;12,658;12,714;190.693;2.463.755
2020-03-20;14,478;15,00;13,33;14,043;113.867;1.625.028
2020-03-19;12,729;13,474;12,38;13,125;118.961;1.521.534
2020-03-18;13,44;13,532;12,41;12,527;202.340;2.626.184
2020-03-17;14,411;14,411;13,842;14,03;85.392;1.198.386
2020-03-16;14,82;14,85;13,863;14,052;132.831;1.913.835
2020-03-13;15,882;16,487;15,40;15,615;91.332;1.459.311
2020-03-12;15,507;15,604;14,949;15,238;94.306;1.454.084
2020-03-11;16,525;16,60;15,95;16,334;167.731;2.724.989
2020-03-10;15,815;16,80;15,50;16,403;284.809;4.608.035
2020-03-09;16,062;16,301;15,246;15,78;628.633;9.943.499
2020-03-06;21,572;21,572;19,86;20,004;81.582;1.710.203
2020-03-05;22,758;22,766;22,296;22,438;15.540;350.916
2020-03-04;22,852;23,436;22,75;22,834;18.217;420.173
2020-03-03;23,224;23,696;22,90;22,986;57.131;1.332.836
2020-03-02;22,908;23,032;22,052;22,798;73.951;1.670.627
2020-02-28;22,496;22,802;21,894;22,17;30.154;673.082
2020-02-27;23,448;23,552;22,592;22,94;51.137;1.184.755
2020-02-26;24,488;24,652;23,988;24,386;20.564;497.836
2020-02-25;25,37;25,434;24,80;24,808;10.815;271.809
2020-02-24;25,50;25,52;24,894;24,894;15.004;378.611
2020-02-21;26,444;26,488;25,994;26,102;11.661;306.137
2020-02-20;26,766;27,03;26,64;26,896;33.600;902.045
2020-02-19;26,292;26,786;26,266;26,786;16.055;423.718
2020-02-18;25,678;26,00;25,534;25,844;14.073;361.349
2020-02-17;25,898;25,954;25,844;25,928;4.937;128.013
2020-02-14;25,60;25,99;25,568;25,866;5.226;134.917
2020-02-13;25,106;25,548;24,934;25,446;3.468;87.646
2020-02-12;24,908;25,40;24,836;25,192;5.759;145.038
2020-02-11;24,36;24,732;24,36;24,366;47.125;1.156.272
2020-02-10;24,528;24,576;24,252;24,252;17.391;425.304
2020-02-07;24,75;24,94;24,48;24,732;22.199;549.360
2020-02-06;25,14;25,266;24,50;24,67;22.628;565.279
2020-02-05;24,74;25,286;24,722;25,092;47.536;1.180.581
2020-02-04;24,384;24,762;24,384;24,552;36.078;884.733
2020-02-03;25,046;25,28;24,448;24,448;65.034;1.624.293
2020-01-31;25,92;25,934;25,116;25,474;16.903;432.100
2020-01-30;25,888;26,006;25,678;25,748;21.734;561.579
2020-01-29;26,562;26,78;26,20;26,426;35.276;936.076
2020-01-28;26,136;26,60;25,95;26,55;47.312;1.238.479
2020-01-27;26,188;26,35;25,848;26,038;62.316;1.622.644
2020-01-24;27,466;27,466;26,708;26,756;11.626;317.060
2020-01-23;27,432;27,506;27,044;27,34;2.278;62.145
2020-01-22;28,234;28,30;27,792;27,854;6.044;169.722
2020-01-21;28,32;28,41;28,10;28,41;4.503;127.004
2020-01-20;28,75;28,75;28,598;28,64;2.869;82.322
2020-01-17;28,352;28,50;28,352;28,432;395;11.205
2020-01-16;28,088;28,386;27,948;28,386;6.104;172.147
2020-01-15;28,18;28,232;27,86;27,94;4.398;123.753
2020-01-14;28,064;28,478;28,064;28,342;11.037;312.274
2020-01-13;28,46;28,638;28,154;28,154;6.450;183.606
2020-01-10;28,666;28,80;28,572;28,768;8.107;232.308
2020-01-09;28,698;28,916;28,41;28,736;57.780;1.655.126
2020-01-08;30,208;30,30;29,132;29,132;52.513;1.578.779
2020-01-07;29,812;29,98;29,70;29,806;9.713;289.705
2020-01-06;30,532;30,62;30,01;30,09;17.763;538.380
2020-01-03;29,924;30,384;29,63;29,75;192.692;5.771.264
2020-01-02;28,878;29,00;28,702;28,702;5.655;163.351
2019-12-30;29,194;29,40;29,10;29,326;5.722;167.440
2019-12-27;29,276;29,342;29,042;29,224;12.295;359.614
2019-12-23;28,618;28,76;28,528;28,752;9.167;262.352
2019-12-20;28,828;28,828;28,65;28,72;2.805;80.495
