Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;74,72;74,72;74,72;74,72;;
2020-03-26;72,07;72,07;72,07;72,07;;
2020-03-25;72,33;72,33;72,33;72,33;;
2020-03-24;68,83;68,83;68,83;68,83;;
2020-03-23;68,46;68,46;68,46;68,46;;
2020-03-20;69,21;69,21;69,21;69,21;;
2020-03-19;67,87;67,87;67,87;67,87;;
2020-03-18;69,24;69,24;69,24;69,24;;
2020-03-17;66,68;66,68;66,68;66,68;;
2020-03-16;70,67;70,67;70,67;70,67;;
2020-03-13;69,14;69,14;69,14;69,14;;
2020-03-12;73,00;73,00;73,00;73,00;;
2020-03-11;74,85;74,85;74,85;74,85;;
2020-03-10;73,58;73,58;73,58;73,58;;
2020-03-09;77,88;77,88;77,88;77,88;;
2020-03-06;80,83;80,83;80,83;80,83;;
2020-03-05;82,09;82,09;82,09;82,09;;
2020-03-04;80,17;80,17;80,17;80,17;;
2020-03-03;80,53;80,53;80,53;80,53;;
2020-03-02;79,83;79,83;79,83;79,83;;
2020-02-28;80,26;80,26;80,26;80,26;;
2020-02-27;83,78;83,78;83,78;83,78;;
2020-02-26;84,14;84,14;84,14;84,14;;
2020-02-25;85,81;85,81;85,81;85,81;;
2020-02-24;88,31;88,31;88,31;88,31;;
2020-02-21;90,01;90,01;90,01;90,01;;
2020-02-20;90,56;90,56;90,56;90,56;;
2020-02-19;88,47;88,47;88,47;88,47;;
2020-02-18;88,49;88,49;88,49;88,49;;
2020-02-17;88,60;88,60;88,60;88,60;;
2020-02-14;88,37;88,37;88,37;88,37;;
2020-02-13;88,07;88,07;88,07;88,07;;
2020-02-12;87,39;87,39;87,39;87,39;;
2020-02-11;86,45;86,45;86,45;86,45;;
2020-02-10;85,44;85,44;85,44;85,44;;
2020-02-07;86,13;86,13;86,13;86,13;;
2020-02-06;86,09;86,09;86,09;86,09;;
2020-02-05;85,35;85,35;85,35;85,35;;
2020-02-04;83,87;83,87;83,87;83,87;;
2020-02-03;82,49;82,49;82,49;82,49;;
2020-01-31;84,03;84,03;84,03;84,03;;
2020-01-30;84,14;84,14;84,14;84,14;;
2020-01-29;85,21;85,21;85,21;85,21;;
2020-01-28;84,36;84,36;84,36;84,36;;
2020-01-27;86,00;86,00;86,00;86,00;;
2020-01-24;86,16;86,16;86,16;86,16;;
2020-01-23;85,55;85,55;85,55;85,55;;
2020-01-22;85,67;85,67;85,67;85,67;;
2020-01-21;85,40;85,40;85,40;85,40;;
2020-01-20;85,57;85,57;85,57;85,57;;
2020-01-17;85,01;85,01;85,01;85,01;;
2020-01-16;84,36;84,36;84,36;84,36;;
2020-01-15;84,48;84,48;84,48;84,48;;
2020-01-14;84,57;84,57;84,57;84,57;;
2020-01-13;84,08;84,08;84,08;84,08;;
2020-01-10;84,24;84,24;84,24;84,24;;
2020-01-09;83,70;83,70;83,70;83,70;;
2020-01-08;82,94;82,94;82,94;82,94;;
2020-01-07;82,47;82,47;82,47;82,47;;
2020-01-06;82,58;82,58;82,58;82,58;;
2020-01-03;83,03;83,03;83,03;83,03;;
2020-01-02;82,11;82,11;82,11;82,11;;
2019-12-30;82,71;82,71;82,71;82,71;;
2019-12-27;83,08;83,08;83,08;83,08;;
