Date;Close
2019-09-27;27.16
2019-09-30;27.24
2019-10-01;27.10
2019-10-02;26.44
2019-10-03;26.42
2019-10-04;26.92
2019-10-07;27.00
2019-10-08;26.60
2019-10-09;26.66
2019-10-10;26.80
2019-10-11;27.33
2019-10-14;27.30
2019-10-15;27.58
2019-10-16;27.41
2019-10-17;27.29
2019-10-18;26.94
2019-10-21;27.29
2019-10-22;27.30
2019-10-23;27.27
2019-10-24;27.64
2019-10-25;28.00
2019-10-28;28.23
2019-10-29;27.86
2019-10-30;27.76
2019-10-31;27.64
2019-11-01;27.91
2019-11-04;28.42
2019-11-05;28.81
2019-11-06;28.64
2019-11-07;28.99
2019-11-08;28.84
2019-11-11;28.71
2019-11-12;28.90
2019-11-13;28.79
2019-11-14;28.66
2019-11-15;28.93
2019-11-18;28.84
2019-11-19;28.79
2019-11-20;28.78
2019-11-21;28.46
2019-11-22;28.67
2019-11-25;29.06
2019-11-26;29.12
2019-11-27;29.29
2019-11-28;29.30
2019-11-29;29.19
2019-12-02;28.69
2019-12-03;28.33
2019-12-04;28.63
2019-12-05;28.48
2019-12-06;28.97
2019-12-09;28.83
2019-12-10;28.73
2019-12-11;28.82
2019-12-12;29.12
2019-12-13;29.36
2019-12-16;29.70
2019-12-17;29.63
2019-12-18;29.83
2019-12-19;29.88
2019-12-20;30.21
2019-12-23;30.33
2019-12-24;30.25
2019-12-26;30.37
2019-12-27;30.27
2019-12-30;29.92
2019-12-31;29.89
2020-01-02;30.47
2020-01-03;30.38
2020-01-06;30.27
2020-01-07;30.65
2020-01-08;30.88
2020-01-09;31.24
2020-01-10;31.25
2020-01-13;31.44
2020-01-14;31.57
2020-01-15;31.43
2020-01-16;31.68
2020-01-17;31.89
2020-01-20;32.04
2020-01-21;31.92
2020-01-22;32.13
2020-01-23;32.13
2020-01-24;32.32
2020-01-27;31.40
2020-01-28;31.68
2020-01-29;31.69
2020-01-30;31.03
2020-01-31;30.64
2020-02-03;30.86
2020-02-04;31.70
2020-02-05;32.05
2020-02-06;32.33
2020-02-07;32.34
2020-02-10;32.38
2020-02-11;32.83
2020-02-12;33.19
2020-02-13;33.36
2020-02-14;33.38
2020-02-17;33.35
2020-02-18;32.95
2020-02-19;33.55
2020-02-20;33.07
2020-02-21;32.72
2020-02-24;31.43
2020-02-25;31.12
2020-02-26;30.81
2020-02-27;29.66
2020-02-28;28.59
2020-03-02;29.02
2020-03-03;29.19
2020-03-04;29.12
2020-03-05;29.13
2020-03-06;27.74
2020-03-09;26.01
2020-03-10;26.23
2020-03-11;26.03
2020-03-12;24.12
2020-03-13;24.16
2020-03-16;23.31
2020-03-17;23.60
2020-03-18;22.89
2020-03-19;23.75
2020-03-20;24.02
2020-03-23;23.34
2020-03-24;25.04
2020-03-25;25.88
2020-03-26;26.00
2020-03-27;25.33
