Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;38,2707;38,2707;38,2707;38,2707;;
2020-03-26;38,8066;38,8066;38,8066;38,8066;;
2020-03-25;38,7986;38,7986;38,7986;38,7986;;
2020-03-24;37,3078;37,3078;37,3078;37,3078;;
2020-03-23;35,3857;35,3857;35,3857;35,3857;;
2020-03-20;37,7428;37,7428;37,7428;37,7428;;
2020-03-19;35,9786;35,9786;35,9786;35,9786;;
2020-03-18;36,5307;36,5307;36,5307;36,5307;;
2020-03-17;37,8265;37,8265;37,8265;37,8265;;
2020-03-16;37,5716;37,5716;37,5716;37,5716;;
2020-03-13;40,4302;40,4302;40,4302;40,4302;;
2020-03-12;40,0023;40,0023;40,0023;40,0023;;
2020-03-11;42,1495;42,1495;42,1495;42,1495;;
2020-03-10;42,6859;42,6859;42,6859;42,6859;;
2020-03-09;41,678;41,678;41,678;41,678;;
2020-03-06;44,9152;44,9152;44,9152;44,9152;;
2020-03-05;46,6218;46,6218;46,6218;46,6218;;
2020-03-04;46,7457;46,7457;46,7457;46,7457;;
2020-03-03;46,1293;46,1293;46,1293;46,1293;;
2020-03-02;45,8504;45,8504;45,8504;45,8504;;
2020-02-28;45,9342;45,9342;45,9342;45,9342;;
2020-02-27;47,0697;47,0697;47,0697;47,0697;;
2020-02-26;48,1777;48,1777;48,1777;48,1777;;
2020-02-25;48,7879;48,7879;48,7879;48,7879;;
2020-02-24;48,7642;48,7642;48,7642;48,7642;;
2020-02-21;50,1204;50,1204;50,1204;50,1204;;
2020-02-20;50,8541;50,8541;50,8541;50,8541;;
2020-02-19;51,3059;51,3059;51,3059;51,3059;;
2020-02-18;50,784;50,784;50,784;50,784;;
2020-02-17;51,3236;51,3236;51,3236;51,3236;;
2020-02-14;51,1796;51,1796;51,1796;51,1796;;
2020-02-13;51,148;51,148;51,148;51,148;;
2020-02-12;51,0963;51,0963;51,0963;51,0963;;
2020-02-11;50,5277;50,5277;50,5277;50,5277;;
2020-02-10;49,9169;49,9169;49,9169;49,9169;;
2020-02-07;49,9455;49,9455;49,9455;49,9455;;
2020-02-06;50,386;50,386;50,386;50,386;;
2020-02-05;49,6758;49,6758;49,6758;49,6758;;
2020-02-04;49,3413;49,3413;49,3413;49,3413;;
2020-02-03;48,1165;48,1165;48,1165;48,1165;;
2020-01-31;47,9766;47,9766;47,9766;47,9766;;
2020-01-30;48,797;48,797;48,797;48,797;;
2020-01-29;50,0737;50,0737;50,0737;50,0737;;
2020-01-28;50,2521;50,2521;50,2521;50,2521;;
2020-01-27;50,2594;50,2594;50,2594;50,2594;;
2020-01-24;50,9462;50,9462;50,9462;50,9462;;
2020-01-23;50,9794;50,9794;50,9794;50,9794;;
2020-01-22;51,3504;51,3504;51,3504;51,3504;;
2020-01-21;50,9406;50,9406;50,9406;50,9406;;
2020-01-20;51,8636;51,8636;51,8636;51,8636;;
2020-01-17;51,855;51,855;51,855;51,855;;
2020-01-16;51,3555;51,3555;51,3555;51,3555;;
2020-01-15;51,1878;51,1878;51,1878;51,1878;;
2020-01-14;51,5991;51,5991;51,5991;51,5991;;
2020-01-13;51,5505;51,5505;51,5505;51,5505;;
2020-01-10;51,1698;51,1698;51,1698;51,1698;;
2020-01-09;51,0311;51,0311;51,0311;51,0311;;
2020-01-08;50,1481;50,1481;50,1481;50,1481;;
2020-01-07;50,243;50,243;50,243;50,243;;
2020-01-06;49,8804;49,8804;49,8804;49,8804;;
2020-01-03;50,4936;50,4936;50,4936;50,4936;;
2020-01-02;50,5297;50,5297;50,5297;50,5297;;
2019-12-31;49,822;49,822;49,822;49,822;;
2019-12-30;50,0817;50,0817;50,0817;50,0817;;
2019-12-27;50,2823;50,2823;50,2823;50,2823;;
2019-12-24;50,0989;50,0989;50,0989;50,0989;;
2019-12-23;50,2213;50,2213;50,2213;50,2213;;
2019-12-20;50,0494;50,0494;50,0494;50,0494;;
2019-12-19;49,8525;49,8525;49,8525;49,8525;;
2019-12-18;49,9032;49,9032;49,9032;49,9032;;
2019-12-17;49,4825;49,4825;49,4825;49,4825;;
2019-12-16;48,8953;48,8953;48,8953;48,8953;;
2019-12-13;48,8628;48,8628;48,8628;48,8628;;
2019-12-12;48,1977;48,1977;48,1977;48,1977;;
2019-12-11;47,7815;47,7815;47,7815;47,7815;;
2019-12-10;47,3687;47,3687;47,3687;47,3687;;
2019-12-09;47,526;47,526;47,526;47,526;;
2019-12-06;47,5204;47,5204;47,5204;47,5204;;
2019-12-05;47,0615;47,0615;47,0615;47,0615;;
2019-12-04;46,7916;46,7916;46,7916;46,7916;;
2019-12-03;46,8527;46,8527;46,8527;46,8527;;
2019-12-02;47,0192;47,0192;47,0192;47,0192;;
2019-11-29;47,2189;47,2189;47,2189;47,2189;;
2019-11-28;47,772;47,772;47,772;47,772;;
2019-11-27;47,9178;47,9178;47,9178;47,9178;;
2019-11-26;47,6205;47,6205;47,6205;47,6205;;
2019-11-25;47,8896;47,8896;47,8896;47,8896;;
2019-11-22;47,5736;47,5736;47,5736;47,5736;;
2019-11-21;47,2103;47,2103;47,2103;47,2103;;
2019-11-20;47,5891;47,5891;47,5891;47,5891;;
2019-11-19;47,7614;47,7614;47,7614;47,7614;;
2019-11-18;47,5299;47,5299;47,5299;47,5299;;
