Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;325,3745;325,5895;308,5655;308,8665;;
2020-03-26;312,7205;326,644;310,3395;326,624;;
2020-03-25;305,8295;319,4315;305,5125;315,546;;
2020-03-24;279,425;304,564;278,6295;304,015;;
2020-03-23;275,6385;276,988;266,7905;275,639;;
2020-03-22;273,646;274,5125;273,456;274,3875;;
2020-03-21;275,5875;275,7615;274,8005;275,4345;;
2020-03-20;272,1955;287,5095;270,4765;278,9155;;
2020-03-19;265,105;269,041;256,0485;267,869;;
2020-03-18;282,271;291,2645;260,2225;263,808;;
2020-03-17;298,685;307,9685;286,621;290,0005;;
2020-03-16;302,199;305,006;282,7135;291,807;;
2020-03-14;325,3965;325,3965;321,434;321,434;;
2020-03-13;312,145;333,949;311,264;328,0555;;
2020-03-12;342,807;343,1275;307,6895;308,265;;
2020-03-11;354,793;361,017;349,4905;352,6795;;
2020-03-10;364,40;370,5475;351,4485;361,574;;
2020-03-09;364,029;365,5615;350,719;351,0845;;
2020-03-07;378,92;378,92;378,823;378,823;;
2020-03-06;388,8035;389,2075;373,958;380,3495;;
2020-03-05;400,402;403,442;389,2165;389,576;;
2020-03-04;395,8505;401,004;392,67;400,4565;;
2020-03-03;391,4775;402,396;391,135;393,216;;
2020-03-02;385,689;392,909;381,2115;392,5335;;
2020-03-01;382,6885;384,3175;382,6885;383,7275;;
2020-02-29;385,094;385,1135;384,0195;384,284;;
2020-02-28;380,1095;387,0585;374,893;386,9135;;
2020-02-27;402,305;406,779;387,618;387,618;;
2020-02-26;407,333;411,352;398,0335;405,58;;
2020-02-25;421,4655;424,687;405,8995;406,7705;;
2020-02-24;436,5475;436,714;413,5445;419,02;;
2020-02-23;439,3235;439,3235;438,6455;438,908;;
2020-02-22;440,2955;440,2955;439,459;440,1445;;
2020-02-21;442,592;446,8565;438,169;440,6755;;
2020-02-20;447,2415;447,331;443,0395;443,488;;
2020-02-19;444,9105;447,2495;443,483;446,258;;
2020-02-18;443,2545;444,8365;441,092;444,0155;;
2020-02-17;446,688;447,8715;444,12;444,12;;
2020-02-14;440,191;447,801;439,975;446,587;;
2020-02-13;436,4005;442,5275;434,87;439,0205;;
2020-02-12;439,038;439,42;435,5025;437,602;;
2020-02-11;429,466;438,3345;428,4395;438,2425;;
2020-02-10;427,1865;428,3465;423,943;428,338;;
2020-02-09;426,12;426,289;425,893;426,2375;;
2020-02-08;426,7315;426,7315;426,01;426,01;;
2020-02-07;429,063;429,09;424,915;426,572;;
2020-02-06;430,5685;432,278;425,105;429,1295;;
2020-02-05;425,3295;427,7195;423,0755;426,767;;
2020-02-04;427,2365;431,6455;424,3035;427,2955;;
2020-02-03;422,275;426,2155;422,275;425,5385;;
2020-02-02;420,0355;420,678;419,8285;420,295;;
2020-02-01;419,976;420,4695;419,976;420,0975;;
2020-01-31;428,2425;429,919;420,7805;420,905;;
2020-01-30;427,673;429,192;424,2955;429,192;;
2020-01-29;429,0675;433,557;427,827;429,4385;;
2020-01-28;425,669;429,5495;424,9105;429,0895;;
2020-01-27;431,1355;431,5165;421,332;424,5735;;
2020-01-26;431,6355;431,714;431,6355;431,714;;
2020-01-25;432,208;432,322;431,8235;431,8235;;
2020-01-24;432,0485;436,7245;431,032;432,7765;;
2020-01-23;428,1285;431,617;427,456;431,4865;;
2020-01-22;428,024;431,6245;427,104;428,416;;
2020-01-21;427,0135;427,1355;423,471;426,832;;
2020-01-20;427,8175;430,0335;425,146;428,188;;
2020-01-19;427,839;428,0425;427,839;428,0345;;
2020-01-18;427,8505;427,8505;427,8505;427,8505;;
2020-01-17;427,776;429,276;427,007;427,966;;
2020-01-16;429,4075;433,841;426,1865;427,4225;;
2020-01-15;429,3295;431,8905;428,187;429,4785;;
2020-01-14;431,809;431,998;426,8645;429,538;;
2020-01-13;434,52;436,464;430,5845;431,9305;;
2020-01-11;433,515;433,875;433,515;433,875;;
2020-01-10;434,5255;436,1495;433,273;433,6175;;
2020-01-09;429,909;436,2885;429,676;434,3575;;
2020-01-08;422,7865;429,441;420,202;429,433;;
2020-01-07;423,26;426,5325;422,1865;424,407;;
2020-01-06;425,1405;425,623;418,9275;422,967;;
2020-01-03;433,7895;433,857;422,821;426,263;;
2020-01-02;424,538;435,644;424,538;435,464;;
2019-12-30;420,129;426,977;419,0195;425,353;;
