Datum;Erster;Hoch;Tief;Schlusskurs;Volumen
2020-03-27;2.572,95;2.572,95;2.493,58;2.506,46;1.324.107.291
2020-03-26;2.520,11;2.592,21;2.483,56;2.592,21;1.654.739.992
2020-03-25;2.525,04;2.606,45;2.462,06;2.543,12;1.876.119.956
2020-03-24;2.371,59;2.491,41;2.371,59;2.491,41;1.913.304.168
2020-03-23;2.297,72;2.369,89;2.241,08;2.316,88;1.641.531.362
2020-03-20;2.330,85;2.399,04;2.321,37;2.349,03;2.793.803.402
2020-03-19;2.205,54;2.285,96;2.171,31;2.273,21;1.916.242.108
2020-03-18;2.277,16;2.278,79;2.194,7;2.202,23;1.824.023.965
2020-03-17;2.333,73;2.374;2.192,24;2.295,85;2.071.060.405
2020-03-16;2.267,63;2.317,09;2.128,29;2.286,73;2.760.000.265
2020-03-13;2.351,53;2.533,59;2.331,87;2.360,54;2.814.988.091
2020-03-12;2.479,37;2.479,46;2.317,18;2.320,98;3.328.564.343
2020-03-11;2.646,91;2.675,95;2.600,75;2.608,45;1.911.126.122
2020-03-10;2.655,07;2.738,92;2.614,09;2.623,67;2.634.556.065
2020-03-09;2.673,63;2.708,17;2.613,35;2.636,5;2.919.578.802
2020-03-06;2.858,64;2.873,22;2.792,76;2.824,54;1.994.040.545
2020-03-05;2.972,31;2.987,55;2.894,59;2.912;1.505.004.120
2020-03-04;2.946,57;2.978,04;2.923,54;2.950,92;1.660.405.399
2020-03-03;2.891,67;3.003,76;2.891,23;2.942,67;2.477.753.663
2020-03-02;2.909,73;2.932,67;2.794,45;2.857,55;2.170.174.992
2020-02-28;2.851,85;2.862,58;2.781,08;2.848,71;3.164.656.789
2020-02-27;3.005,9;3.006,65;2.897,08;2.942,21;2.156.295.029
2020-02-26;3.027,09;3.063,65;2.910,84;3.043,45;2.201.126.846
2020-02-25;3.132,26;3.160,12;3.049,23;3.052,02;1.597.216.548
2020-02-24;3.125,19;3.128,86;3.080,2;3.114,68;1.959.481.620
2020-02-21;3.253,57;3.277,05;3.219,32;3.237,15;1.316.792.064
2020-02-20;3.298,85;3.302,94;3.264,28;3.264,28;1.062.510.272
2020-02-19;3.243,92;3.295,94;3.243,84;3.295,94;1.217.358.720
2020-02-18;3.246,89;3.248,94;3.220,53;3.234,62;1.084.415.232
2020-02-17;3.268,24;3.273,16;3.247,4;3.261,48;796.707.904
2020-02-14;3.286,41;3.291,75;3.257,53;3.265,31;1.096.333.440
2020-02-13;3.259,17;3.280,44;3.222,79;3.279,73;1.453.733.632
2020-02-12;3.254,43;3.270,96;3.253,76;3.270;1.086.856.192
2020-02-11;3.193,02;3.253,37;3.193,02;3.250,83;1.358.505.856
2020-02-10;3.179,44;3.182,38;3.156,57;3.182,38;836.388.608
2020-02-07;3.202,56;3.206,22;3.171,82;3.179,21;954.503.872
2020-02-06;3.206,24;3.221,32;3.186,01;3.207,86;1.059.119.808
2020-02-05;3.124,2;3.213,44;3.121,3;3.194,75;1.536.792.192
2020-02-04;3.078,1;3.124,76;3.078,1;3.124,76;1.133.892.736
2020-02-03;3.061,3;3.072,53;3.036,91;3.065,66;1.269.963.776
2020-01-31;3.111,39;3.121,42;3.061,47;3.061,72;1.261.967.104
2020-01-30;3.134,05;3.137,89;3.097,95;3.105,56;1.118.536.960
2020-01-29;3.155,54;3.170,91;3.149,18;3.157,65;1.013.272.896
2020-01-28;3.146,28;3.160,22;3.106,18;3.151,57;1.373.542.144
2020-01-27;3.197,16;3.197,62;3.126;3.133,87;1.442.019.200
2020-01-24;3.178,44;3.237,36;3.178,44;3.225,97;1.344.325.376
2020-01-23;3.174,3;3.190,43;3.149,94;3.170,33;1.193.877.760
2020-01-22;3.182,36;3.185,19;3.163,86;3.179,83;981.115.072
2020-01-21;3.158,66;3.170,25;3.136;3.170,25;873.650.240
2020-01-20;3.157,64;3.178,09;3.156,15;3.172,72;698.221.568
2020-01-17;3.139,4;3.161,41;3.126,8;3.152,54;1.289.460.352
2020-01-16;3.115,06;3.144,52;3.112,11;3.129,61;1.139.055.104
2020-01-15;3.097,62;3.115;3.092,26;3.103,57;1.037.122.240
2020-01-14;3.096,19;3.102,66;3.075;3.099,05;1.114.758.144
2020-01-13;3.108,65;3.135,92;3.089,11;3.093,77;1.134.205.696
2020-01-10;3.104,03;3.116,92;3.100,06;3.105,16;846.910.208
2020-01-09;3.064,82;3.106,74;3.064,82;3.095,28;1.413.704.960
2020-01-08;3.023,62;3.048,3;2.999,77;3.044,26;1.207.808.896
2020-01-07;3.008,64;3.053,63;3.008,64;3.036,83;970.561.792
2020-01-06;3.016,29;3.016,52;2.953,94;3.001,2;882.541.504
2020-01-03;3.056,31;3.056,47;3.010,91;3.035,69;870.054.080
2020-01-02;3.021,8;3.075;3.020,55;3.063,44;1.088.605.568
2019-12-30;3.036,64;3.038,25;3.014,33;3.014,94;449.690.336
2019-12-27;3.060,81;3.069,84;3.020,28;3.035,28;634.363.328
2019-12-23;3.048,99;3.064,65;3.048,99;3.057,55;657.711.680
2019-12-20;3.049,16;3.064,74;3.044,82;3.050,71;1.910.165.504
2019-12-19;3.038,74;3.046,27;3.021,92;3.046,27;1.113.163.392
2019-12-18;3.059,39;3.060,58;3.031,38;3.032,44;1.033.717.568
2019-12-17;3.082,89;3.083,95;3.052,59;3.060,98;1.162.298.496
2019-12-16;3.054,22;3.092,96;3.054,19;3.087,19;922.735.040
2019-12-13;3.054,89;3.071,83;3.036,42;3.049,4;1.212.907.136
2019-12-12;3.027,36;3.057,32;3.026,01;3.040,06;1.117.921.920
2019-12-11;3.026,12;3.029,05;3.006,4;3.026,17;1.105.366.912
2019-12-10;3.050,55;3.050,58;2.997,68;3.028,04;1.247.230.464
2019-12-09;3.053,09;3.058,88;3.043,39;3.053,18;809.594.496
2019-12-06;3.045,01;3.057,3;3.027,92;3.054,96;880.566.272
2019-12-05;3.046,6;3.057,65;3.034,87;3.037,12;705.096.960
2019-12-04;3.007,46;3.043,64;3.007,08;3.041,98;842.248.832
2019-12-03;3.005,75;3.032,13;2.989,51;3.005,13;900.842.560
2019-12-02;3.069,95;3.081,24;2.991,12;2.992,02;1.199.581.568
2019-11-29;3.045,85;3.080,25;3.036,93;3.066,61;780.862.848
2019-11-28;3.061,89;3.062,8;3.045,84;3.053,72;434.812.704
2019-11-27;3.068,93;3.073,25;3.051,05;3.066,76;793.712.128
2019-11-26;3.050,05;3.066,14;3.037,42;3.061,25;1.269.320.064
2019-11-25;3.023,97;3.048,76;3.022,13;3.046;732.913.280
2019-11-22;2.996,01;3.020,99;2.994,92;3.011,91;907.055.040
2019-11-21;2.990,59;3.000,97;2.967,22;2.994,4;1.013.346.432
2019-11-20;3.012,62;3.012,62;2.982,93;3.005,29;1.058.259.968
2019-11-19;3.017,05;3.047,63;3.013,74;3.019,98;880.856.000
2019-11-18;3.001,36;3.034,53;2.998,7;3.019,01;1.012.274.496
2019-11-15;2.993,67;2.999,35;2.977,13;2.998,92;1.059.539.520
2019-11-14;2.958,34;2.994,17;2.957,56;2.977,09;1.027.301.120
2019-11-13;2.947,21;2.965,1;2.925,39;2.962,29;898.353.536
2019-11-12;2.931,6;2.963,85;2.930,71;2.949,66;1.105.411.584
2019-11-11;2.919,4;2.935,8;2.908,93;2.928,35;979.096.704
2019-11-08;2.927,66;2.927,73;2.906,26;2.921,44;1.228.046.720
2019-11-07;2.912,38;2.933,44;2.907,17;2.933,38;1.369.452.800
2019-11-06;2.902,52;2.907,24;2.882,08;2.907,24;1.017.932.416
2019-11-05;2.888,85;2.901,91;2.876,81;2.901,33;1.118.565.248
2019-11-04;2.838,31;2.890,15;2.834,55;2.884,26;1.068.879.424
2019-11-01;2.798,18;2.833,41;2.798,13;2.829,87;735.879.040
2019-10-31;2.817,17;2.825,74;2.784,51;2.796,5;1.003.313.792
2019-10-30;2.806,4;2.816,63;2.788,98;2.811,46;893.292.096
2019-10-29;2.823;2.824,74;2.801,96;2.809,85;853.183.296
2019-10-28;2.813,7;2.827,65;2.806;2.823,15;853.671.616
2019-10-25;2.834,13;2.836,49;2.794,88;2.814,25;907.346.496
2019-10-24;2.817,44;2.835,55;2.801,24;2.833,82;960.560.896
2019-10-23;2.823,54;2.823,54;2.787,03;2.808,94;1.043.933.696
2019-10-22;2.844,86;2.848,08;2.825,9;2.828,72;1.091.084.928
2019-10-21;2.782,38;2.838,67;2.782,38;2.835,99;1.157.474.432
2019-10-18;2.801,02;2.811,47;2.776,08;2.778,43;1.484.144.256
2019-10-17;2.799,82;2.822,23;2.789,95;2.801,15;1.322.989.824
2019-10-16;2.802,52;2.810,07;2.780,57;2.801,74;1.424.282.240
2019-10-15;2.815,17;2.821,69;2.756,68;2.805,82;2.082.597.248
2019-10-14;2.798,39;2.806,19;2.774,55;2.803,98;761.479.296
2019-10-11;2.731,02;2.802,26;2.729,16;2.802,26;1.580.848.000
2019-10-10;2.728,02;2.734,49;2.699,21;2.725,11;1.037.783.488
2019-10-09;2.695,91;2.731,08;2.681,1;2.730,34;957.018.944
2019-10-08;2.790,26;2.796,58;2.689,87;2.695,84;1.177.773.184
2019-10-07;2.772,8;2.786,94;2.761,86;2.785,17;761.103.680
2019-10-04;2.728,73;2.770,98;2.723,99;2.770;1.048.470.720
2019-10-02;2.788,5;2.788,5;2.720,48;2.720,57;1.126.738.176
2019-10-01;2.822,74;2.842,75;2.785,37;2.790,72;872.554.688
2019-09-30;2.819,63;2.822,21;2.798,23;2.814,36;692.107.904
2019-09-27;2.818,12;2.826,17;2.801,82;2.822,69;699.987.776





