Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;922,20;922,20;922,20;922,20;;
2020-03-26;945,60;945,60;945,60;945,60;;
2020-03-25;928,20;928,20;928,20;928,20;;
2020-03-24;901,20;901,20;901,20;901,20;;
2020-03-23;851,40;851,40;851,40;851,40;;
2020-03-20;888,80;888,80;888,80;888,80;;
2020-03-19;892,40;892,40;892,40;892,40;;
2020-03-18;890,40;890,40;890,40;890,40;;
2020-03-17;928,40;928,40;928,40;928,40;;
2020-03-16;914,20;914,20;914,20;914,20;;
2020-03-13;970,80;970,80;970,80;970,80;;
2020-03-12;952,40;952,40;952,40;952,40;;
2020-03-11;1.055;1.055;1.055;1.055;;
2020-03-10;1.074;1.074;1.074;1.074;;
2020-03-09;1.081;1.081;1.081;1.081;;
2020-03-06;1.172;1.172;1.172;1.172;;
2020-03-05;1.215;1.215;1.215;1.215;;
2020-03-04;1.246;1.246;1.246;1.246;;
2020-03-03;1.255;1.255;1.255;1.255;;
2020-03-02;1.231;1.231;1.231;1.231;;
2020-02-28;1.238;1.238;1.238;1.238;;
2020-02-27;1.251;1.251;1.251;1.251;;
2020-02-26;1.307;1.307;1.307;1.307;;
2020-02-25;1.301;1.301;1.301;1.301;;
2020-02-24;1.322;1.322;1.322;1.322;;
2020-02-21;1.400;1.400;1.400;1.400;;
2020-02-20;1.414;1.414;1.414;1.414;;
2020-02-19;1.417;1.417;1.417;1.417;;
2020-02-18;1.401;1.401;1.401;1.401;;
2020-02-17;1.412;1.412;1.412;1.412;;
2020-02-14;1.420;1.420;1.420;1.420;;
2020-02-13;1.423;1.423;1.423;1.423;;
2020-02-12;1.420;1.420;1.420;1.420;;
2020-02-11;1.410;1.410;1.410;1.410;;
2020-02-10;1.377;1.377;1.377;1.377;;
2020-02-07;1.376;1.376;1.376;1.376;;
2020-02-06;1.398;1.398;1.398;1.398;;
2020-02-05;1.387;1.387;1.387;1.387;;
2020-02-04;1.363;1.363;1.363;1.363;;
2020-02-03;1.343;1.343;1.343;1.343;;
2020-01-31;1.354;1.354;1.354;1.354;;
2020-01-30;1.353;1.353;1.353;1.353;;
2020-01-29;1.377;1.377;1.377;1.377;;
2020-01-28;1.373;1.373;1.373;1.373;;
2020-01-27;1.360;1.360;1.360;1.360;;
2020-01-24;1.397;1.397;1.397;1.397;;
2020-01-23;1.395;1.395;1.395;1.395;;
2020-01-22;1.419;1.419;1.419;1.419;;
2020-01-21;1.427;1.427;1.427;1.427;;
2020-01-20;1.438;1.438;1.438;1.438;;
2020-01-17;1.438;1.438;1.438;1.438;;
2020-01-16;1.435;1.435;1.435;1.435;;
2020-01-15;1.420;1.420;1.420;1.420;;
2020-01-14;1.425;1.425;1.425;1.425;;
2020-01-13;1.427;1.427;1.427;1.427;;
2020-01-10;1.429;1.429;1.429;1.429;;
2020-01-09;1.428;1.428;1.428;1.428;;
2020-01-08;1.429;1.429;1.429;1.429;;
2020-01-07;1.431;1.431;1.431;1.431;;
2020-01-06;1.422;1.422;1.422;1.422;;
2020-01-03;1.429;1.429;1.429;1.429;;
2020-01-02;1.442;1.442;1.442;1.442;;
2019-12-31;1.420;1.420;1.420;1.420;;
2019-12-30;1.418;1.418;1.418;1.418;;
2019-12-27;1.422;1.422;1.422;1.422;;
2019-12-26;1.419;1.419;1.419;1.419;;
2019-12-24;1.417;1.417;1.417;1.417;;
2019-12-23;1.418;1.418;1.418;1.418;;
2019-12-20;1.407;1.407;1.407;1.407;;
2019-12-19;1.402;1.402;1.402;1.402;;
2019-12-18;1.398;1.398;1.398;1.398;;
2019-12-17;1.401;1.401;1.401;1.401;;
2019-12-16;1.402;1.402;1.402;1.402;;
2019-12-13;1.386;1.386;1.386;1.386;;
2019-12-12;1.374;1.374;1.374;1.374;;
2019-12-11;1.362;1.362;1.362;1.362;;
2019-12-10;1.368;1.368;1.368;1.368;;
2019-12-09;1.369;1.369;1.369;1.369;;
2019-12-06;1.363;1.363;1.363;1.363;;
2019-12-05;1.348;1.348;1.348;1.348;;
2019-12-04;1.348;1.348;1.348;1.348;;
2019-12-03;1.328;1.328;1.328;1.328;;
2019-12-02;1.341;1.341;1.341;1.341;;
2019-11-29;1.340;1.340;1.340;1.340;;
2019-11-28;1.347;1.347;1.347;1.347;;
2019-11-27;1.349;1.349;1.349;1.349;;
2019-11-26;1.350;1.350;1.350;1.350;;
2019-11-25;1.352;1.352;1.352;1.352;;
2019-11-22;1.344;1.344;1.344;1.344;;
2019-11-21;1.337;1.337;1.337;1.337;;
2019-11-20;1.342;1.342;1.342;1.342;;
2019-11-19;1.347;1.347;1.347;1.347;;
2019-11-18;1.347;1.347;1.347;1.347;;
2019-11-15;1.358;1.358;1.358;1.358;;
2019-11-14;1.350;1.350;1.350;1.350;;
2019-11-13;1.359;1.359;1.359;1.359;;
2019-11-12;1.366;1.366;1.366;1.366;;
2019-11-11;1.369;1.369;1.369;1.369;;
2019-11-08;1.365;1.365;1.365;1.365;;
2019-11-07;1.360;1.360;1.360;1.360;;
2019-11-06;1.349;1.349;1.349;1.349;;
2019-11-05;1.354;1.354;1.354;1.354;;
2019-11-04;1.354;1.354;1.354;1.354;;
2019-11-01;1.332;1.332;1.332;1.332;;
2019-10-31;1.325;1.325;1.325;1.325;;
2019-10-30;1.332;1.332;1.332;1.332;;
2019-10-29;1.336;1.336;1.336;1.336;;
2019-10-28;1.338;1.338;1.338;1.338;;
2019-10-25;1.336;1.336;1.336;1.336;;
2019-10-24;1.334;1.334;1.334;1.334;;
2019-10-23;1.332;1.332;1.332;1.332;;
2019-10-22;1.329;1.329;1.329;1.329;;
2019-10-21;1.339;1.339;1.339;1.339;;
2019-10-18;1.330;1.330;1.330;1.330;;
2019-10-17;1.335;1.335;1.335;1.335;;
2019-10-16;1.333;1.333;1.333;1.333;;
2019-10-15;1.326;1.326;1.326;1.326;;
2019-10-14;1.319;1.319;1.319;1.319;;
2019-10-11;1.330;1.330;1.330;1.330;;
2019-10-10;1.310;1.310;1.310;1.310;;
2019-10-09;1.307;1.307;1.307;1.307;;
2019-10-08;1.299;1.299;1.299;1.299;;
2019-10-07;1.302;1.302;1.302;1.302;;
2019-10-04;1.279;1.279;1.279;1.279;;
2019-10-03;1.261;1.261;1.261;1.261;;
2019-10-02;1.277;1.277;1.277;1.277;;
2019-10-01;1.301;1.301;1.301;1.301;;
2019-09-30;1.309;1.309;1.309;1.309;;
2019-09-27;1.301;1.301;1.301;1.301;;





