Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;38,8445;38,8445;38,8445;38,8445;;
2020-03-26;39,8713;39,8713;39,8713;39,8713;;
2020-03-25;37,9598;37,9598;37,9598;37,9598;;
2020-03-24;37,0388;37,0388;37,0388;37,0388;;
2020-03-23;34,0506;34,0506;34,0506;34,0506;;
2020-03-20;35,0864;35,0864;35,0864;35,0864;;
2020-03-19;36,0097;36,0097;36,0097;36,0097;;
2020-03-18;35,7451;35,7451;35,7451;35,7451;;
2020-03-17;37,6704;37,6704;37,6704;37,6704;;
2020-03-16;36,1828;36,1828;36,1828;36,1828;;
2020-03-13;39,9792;39,9792;39,9792;39,9792;;
2020-03-12;37,7386;37,7386;37,7386;37,7386;;
2020-03-11;41,8698;41,8698;41,8698;41,8698;;
2020-03-10;43,5624;43,5624;43,5624;43,5624;;
2020-03-09;42,3574;42,3574;42,3574;42,3574;;
2020-03-06;45,6238;45,6238;45,6238;45,6238;;
2020-03-05;46,5364;46,5364;46,5364;46,5364;;
2020-03-04;47,5999;47,5999;47,5999;47,5999;;
2020-03-03;46,2487;46,2487;46,2487;46,2487;;
2020-03-02;46,9395;46,9395;46,9395;46,9395;;
2020-02-28;45,4266;45,4266;45,4266;45,4266;;
2020-02-27;46,1875;46,1875;46,1875;46,1875;;
2020-02-26;47,8932;47,8932;47,8932;47,8932;;
2020-02-25;48,1202;48,1202;48,1202;48,1202;;
2020-02-24;49,42;49,42;49,42;49,42;;
2020-02-21;50,945;50,945;50,945;50,945;;
2020-02-20;51,3138;51,3138;51,3138;51,3138;;
2020-02-19;51,5425;51,5425;51,5425;51,5425;;
2020-02-18;51,331;51,331;51,331;51,331;;
2020-02-14;51,5415;51,5415;51,5415;51,5415;;
2020-02-13;51,5065;51,5065;51,5065;51,5065;;
2020-02-12;51,5984;51,5984;51,5984;51,5984;;
2020-02-11;51,3086;51,3086;51,3086;51,3086;;
2020-02-10;51,1359;51,1359;51,1359;51,1359;;
2020-02-07;50,9586;50,9586;50,9586;50,9586;;
2020-02-06;51,2025;51,2025;51,2025;51,2025;;
2020-02-05;50,9516;50,9516;50,9516;50,9516;;
2020-02-04;50,4902;50,4902;50,4902;50,4902;;
2020-02-03;49,8159;49,8159;49,8159;49,8159;;
2020-01-31;49,6297;49,6297;49,6297;49,6297;;
2020-01-30;50,2572;50,2572;50,2572;50,2572;;
2020-01-29;50,282;50,282;50,282;50,282;;
2020-01-28;50,2616;50,2616;50,2616;50,2616;;
2020-01-27;49,9128;49,9128;49,9128;49,9128;;
2020-01-24;50,7462;50,7462;50,7462;50,7462;;
