Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2020-03-27;46,3728;46,3728;46,3728;46,3728;;
2020-03-26;47,7608;47,7608;47,7608;47,7608;;
2020-03-25;46,2963;46,2963;46,2963;46,2963;;
2020-03-24;45,3042;45,3042;45,3042;45,3042;;
2020-03-23;41,7581;41,7581;41,7581;41,7581;;
2020-03-20;43,3105;43,3105;43,3105;43,3105;;
2020-03-19;44,3869;44,3869;44,3869;44,3869;;
2020-03-18;43,5035;43,5035;43,5035;43,5035;;
2020-03-17;45,2938;45,2938;45,2938;45,2938;;
2020-03-16;42,8711;42,8711;42,8711;42,8711;;
2020-03-13;47,6736;47,6736;47,6736;47,6736;;
2020-03-12;44,9539;44,9539;44,9539;44,9539;;
2020-03-11;49,0345;49,0345;49,0345;49,0345;;
2020-03-10;50,7203;50,7203;50,7203;50,7203;;
2020-03-09;49,0021;49,0021;49,0021;49,0021;;
2020-03-06;53,2924;53,2924;53,2924;53,2924;;
2020-03-05;54,9571;54,9571;54,9571;54,9571;;
2020-03-04;56,4493;56,4493;56,4493;56,4493;;
2020-03-03;54,6681;54,6681;54,6681;54,6681;;
2020-03-02;55,7162;55,7162;55,7162;55,7162;;
2020-02-28;54,6387;54,6387;54,6387;54,6387;;
2020-02-27;55,5494;55,5494;55,5494;55,5494;;
2020-02-26;58,2484;58,2484;58,2484;58,2484;;
2020-02-25;58,5346;58,5346;58,5346;58,5346;;
2020-02-24;60,1568;60,1568;60,1568;60,1568;;
2020-02-21;62,0453;62,0453;62,0453;62,0453;;
2020-02-20;62,7755;62,7755;62,7755;62,7755;;
2020-02-19;63,1159;63,1159;63,1159;63,1159;;
2020-02-18;62,6746;62,6746;62,6746;62,6746;;
2020-02-17;62,872;62,872;62,872;62,872;;
2020-02-14;62,8017;62,8017;62,8017;62,8017;;
2020-02-13;62,7451;62,7451;62,7451;62,7451;;
2020-02-12;62,5886;62,5886;62,5886;62,5886;;
2020-02-11;62,1176;62,1176;62,1176;62,1176;;
2020-02-10;61,8562;61,8562;61,8562;61,8562;;
2020-02-07;61,4107;61,4107;61,4107;61,4107;;
2020-02-06;61,631;61,631;61,631;61,631;;
2020-02-05;61,1943;61,1943;61,1943;61,1943;;
2020-02-04;60,4411;60,4411;60,4411;60,4411;;
2020-02-03;59,5273;59,5273;59,5273;59,5273;;
2020-01-31;59,1609;59,1609;59,1609;59,1609;;
2020-01-30;60,1632;60,1632;60,1632;60,1632;;
2020-01-29;60,3914;60,3914;60,3914;60,3914;;
2020-01-28;60,3545;60,3545;60,3545;60,3545;;
2020-01-27;59,8698;59,8698;59,8698;59,8698;;
2020-01-24;60,8058;60,8058;60,8058;60,8058;;
2020-01-23;60,9668;60,9668;60,9668;60,9668;;
2020-01-22;60,9052;60,9052;60,9052;60,9052;;
2020-01-21;60,7546;60,7546;60,7546;60,7546;;
2020-01-20;60,9866;60,9866;60,9866;60,9866;;
2020-01-17;60,9276;60,9276;60,9276;60,9276;;
2020-01-16;60,438;60,438;60,438;60,438;;
2020-01-15;60,0311;60,0311;60,0311;60,0311;;
2020-01-14;60,1049;60,1049;60,1049;60,1049;;
2020-01-13;60,0278;60,0278;60,0278;60,0278;;
2020-01-10;59,8747;59,8747;59,8747;59,8747;;
2020-01-09;59,9915;59,9915;59,9915;59,9915;;
2020-01-08;59,5716;59,5716;59,5716;59,5716;;
2020-01-07;59,3352;59,3352;59,3352;59,3352;;
2020-01-06;59,1304;59,1304;59,1304;59,1304;;
2020-01-03;59,2215;59,2215;59,2215;59,2215;;
2020-01-02;59,3664;59,3664;59,3664;59,3664;;
2019-12-31;58,7973;58,7973;58,7973;58,7973;;
2019-12-30;58,7784;58,7784;58,7784;58,7784;;
2019-12-27;59,2782;59,2782;59,2782;59,2782;;
2019-12-24;59,3319;59,3319;59,3319;59,3319;;
2019-12-23;59,3119;59,3119;59,3119;59,3119;;
2019-12-20;59,3061;59,3061;59,3061;59,3061;;
2019-12-19;58,9095;58,9095;58,9095;58,9095;;
2019-12-18;58,6732;58,6732;58,6732;58,6732;;
2019-12-17;58,6045;58,6045;58,6045;58,6045;;
2019-12-16;58,7064;58,7064;58,7064;58,7064;;
2019-12-13;58,2624;58,2624;58,2624;58,2624;;
2019-12-12;58,1051;58,1051;58,1051;58,1051;;
2019-12-11;57,8998;57,8998;57,8998;57,8998;;
2019-12-10;57,7464;57,7464;57,7464;57,7464;;
2019-12-09;57,9202;57,9202;57,9202;57,9202;;
2019-12-06;58,1206;58,1206;58,1206;58,1206;;
2019-12-05;57,4401;57,4401;57,4401;57,4401;;
2019-12-04;57,3829;57,3829;57,3829;57,3829;;
2019-12-03;57,0871;57,0871;57,0871;57,0871;;
2019-12-02;57,4835;57,4835;57,4835;57,4835;;
2019-11-29;58,121;58,121;58,121;58,121;;
2019-11-27;58,5143;58,5143;58,5143;58,5143;;
2019-11-26;58,2337;58,2337;58,2337;58,2337;;
2019-11-25;58,1361;58,1361;58,1361;58,1361;;
2019-11-22;57,5957;57,5957;57,5957;57,5957;;
2019-11-21;57,2853;57,2853;57,2853;57,2853;;
2019-11-20;57,4454;57,4454;57,4454;57,4454;;
2019-11-19;57,629;57,629;57,629;57,629;;
2019-11-18;57,6401;57,6401;57,6401;57,6401;;
2019-11-15;57,7162;57,7162;57,7162;57,7162;;
2019-11-14;57,5363;57,5363;57,5363;57,5363;;
2019-11-13;57,5559;57,5559;57,5559;57,5559;;
2019-11-12;57,5834;57,5834;57,5834;57,5834;;
2019-11-11;57,3736;57,3736;57,3736;57,3736;;
2019-11-08;57,5034;57,5034;57,5034;57,5034;;
2019-11-07;57,3248;57,3248;57,3248;57,3248;;
2019-11-06;57,0199;57,0199;57,0199;57,0199;;
2019-11-05;56,9671;56,9671;56,9671;56,9671;;
2019-11-04;56,6076;56,6076;56,6076;56,6076;;
2019-11-01;56,2939;56,2939;56,2939;56,2939;;
2019-10-31;55,8909;55,8909;55,8909;55,8909;;
2019-10-30;56,1514;56,1514;56,1514;56,1514;;
2019-10-29;56,0677;56,0677;56,0677;56,0677;;
2019-10-28;56,1595;56,1595;56,1595;56,1595;;
2019-10-25;55,9471;55,9471;55,9471;55,9471;;
2019-10-24;55,6937;55,6937;55,6937;55,6937;;
2019-10-23;55,4554;55,4554;55,4554;55,4554;;
2019-10-22;55,2729;55,2729;55,2729;55,2729;;
2019-10-21;55,3189;55,3189;55,3189;55,3189;;
2019-10-18;55,0011;55,0011;55,0011;55,0011;;
2019-10-17;55,2748;55,2748;55,2748;55,2748;;
2019-10-16;55,4281;55,4281;55,4281;55,4281;;
2019-10-15;55,5231;55,5231;55,5231;55,5231;;
2019-10-14;55,0418;55,0418;55,0418;55,0418;;
2019-10-11;55,0906;55,0906;55,0906;55,0906;;
2019-10-10;54,4581;54,4581;54,4581;54,4581;;
2019-10-09;54,2996;54,2996;54,2996;54,2996;;
2019-10-08;54,0629;54,0629;54,0629;54,0629;;
2019-10-07;54,574;54,574;54,574;54,574;;
2019-10-04;54,7024;54,7024;54,7024;54,7024;;
2019-10-03;54,1042;54,1042;54,1042;54,1042;;
2019-10-02;54,0383;54,0383;54,0383;54,0383;;
2019-10-01;55,1259;55,1259;55,1259;55,1259;;
2019-09-30;55,753;55,753;55,753;55,753;;
2019-09-27;55,4137;55,4137;55,4137;55,4137;;





