Date;Close
2019-09-27;41,24
2019-09-30;40,72
2019-10-01;41,24
2019-10-02;43,92
2019-10-04;45,38
2019-10-07;46,84
2019-10-08;45,10
2019-10-09;44,94
2019-10-10;45,16
2019-10-11;46,32
2019-10-14;47,74
2019-10-15;53,25
2019-10-16;53,50
2019-10-17;54,90
2019-10-18;53,95
2019-10-21;54,95
2019-10-22;54,40
2019-10-23;53,35
2019-10-24;52,15
2019-10-25;52,25
2019-10-28;53,15
2019-10-29;52,35
2019-10-30;52,25
2019-10-31;52,55
2019-11-01;52,85
2019-11-04;52,85
2019-11-05;52,95
2019-11-06;54,40
2019-11-07;56,45
2019-11-08;56,55
2019-11-11;56,25
2019-11-12;55,55
2019-11-13;53,35
2019-11-14;55,15
2019-11-15;56,05
2019-11-18;57,40
2019-11-19;54,75
2019-11-20;56,35
2019-11-21;57,00
2019-11-22;57,70
2019-11-25;57,60
2019-11-26;58,55
2019-11-27;56,40
2019-11-28;55,45
2019-11-29;55,60
2019-12-02;54,80
2019-12-03;54,00
2019-12-04;56,35
2019-12-05;56,65
2019-12-06;55,65
2019-12-09;54,95
2019-12-10;54,35
2019-12-11;54,55
2019-12-12;55,05
2019-12-13;55,10
2019-12-16;55,40
2019-12-17;54,50
2019-12-18;53,05
2019-12-19;53,50
2019-12-20;54,45
2019-12-23;54,85
2019-12-27;55,10
2019-12-30;55,70
2020-01-02;55,45
2020-01-03;55,35
2020-01-06;55,25
2020-01-07;55,60
2020-01-08;56,00
2020-01-09;57,05
2020-01-10;56,00
2020-01-13;56,50
2020-01-14;55,90
2020-01-15;56,00
2020-01-16;55,80
2020-01-17;50,00
2020-01-20;53,90
2020-01-21;51,45
2020-01-22;50,90
2020-01-23;51,20
2020-01-24;53,20
2020-01-27;52,45
2020-01-28;53,95
2020-01-29;54,05
2020-01-30;53,55
2020-01-31;52,60
2020-02-03;52,80
2020-02-04;55,60
2020-02-05;56,00
2020-02-06;55,75
2020-02-07;54,30
2020-02-10;55,20
2020-02-11;58,15
2020-02-12;56,40
2020-02-13;56,70
2020-02-14;56,50
2020-02-17;57,20
2020-02-18;56,50
2020-02-19;57,25
2020-02-20;56,85
2020-02-21;54,45
2020-02-24;52,60
2020-02-25;50,50
2020-02-26;51,40
2020-02-27;51,50
2020-02-28;58,25
2020-03-02;58,40
2020-03-03;56,05
2020-03-04;52,80
2020-03-05;53,75
2020-03-06;54,30
2020-03-09;51,20
2020-03-10;50,60
2020-03-11;52,10
2020-03-12;50,00
2020-03-13;58,05
2020-03-16;70,10
2020-03-17;76,60
2020-03-18;77,75
2020-03-19;67,00
2020-03-20;68,60
2020-03-23;73,80
2020-03-24;77,50
2020-03-25;79,00
2020-03-26;88,65
2020-03-27;95,90
