Date;Close
2019-11-04;103.77
2019-11-05;104.66
2019-11-06;104.64
2019-11-07;109.76
2019-11-08;109.9
2019-11-11;108.68
2019-11-12;110.55
2019-11-13;110.65
2019-11-14;110.82
2019-11-15;111.06
2019-11-18;110.48
2019-11-19;110.52
2019-11-20;110.88
2019-11-21;110.9
2019-11-22;110.84
2019-11-25;112.43
2019-11-26;113.66
2019-11-27;113.49
2019-11-28;113.32
2019-11-29;113.1
2019-12-02;112.21
2019-12-03;112.91
2019-12-04;113.9
2019-12-05;112.16
2019-12-06;112.79
2019-12-09;112.04
2019-12-10;111.4
2019-12-11;113.18
2019-12-12;113.84
2019-12-13;113.74
2019-12-16;115.79
2019-12-17;114.18
2019-12-18;112.87
2019-12-19;113.41
2019-12-20;114.09
2019-12-23;113.49
2019-12-27;114.18
2019-12-30;112.54
2020-01-02;114.57
2020-01-03;112.37
2020-01-06;111.85
2020-01-07;112.56
2020-01-08;113.03
2020-01-09;114.34
2020-01-10;112.02
2020-01-13;111.79
2020-01-14;112.41
2020-01-15;111.77
2020-01-16;112.08
2020-01-17;113.08
2020-01-20;112.81
2020-01-21;113.18
2020-01-22;112.04
2020-01-23;111.64
2020-01-24;113.88
2020-01-27;110.88
2020-01-28;111.4
2020-01-29;112.33
2020-01-30;109.84
2020-01-31;107.81
2020-02-03;107.41
2020-02-04;109.11
2020-02-05;109.82
2020-02-06;108.68
2020-02-07;108.3
2020-02-10;108.3
2020-02-11;109.44
2020-02-12;109.58
2020-02-13;107.16
2020-02-14;106.66
2020-02-17;107.88
2020-02-18;106.84
2020-02-19;106.88
2020-02-20;106.24
2020-02-21;105.34
2020-02-24;100.9
2020-02-25;99.26
2020-02-26;98.5
2020-02-27;96.7
2020-02-28;93.2
2020-03-02;91.64
2020-03-03;91.99
2020-03-04;91.96
2020-03-05;90.08
2020-03-06;87.16
2020-03-09;80.49
2020-03-10;79.98
2020-03-11;79.71
2020-03-12;69.59
2020-03-13;70.69
